ID,BIBID,ABST
230,Xu2018a, The material attributes of foreign object debris (FOD) are the most crucial factors to understand the level of damage sustained by an aircraft. However the prevalent FOD detection systems lack an effective method for automatic material recognition. This paper proposes a novel FOD material recognition approach based on both transfer learning and a mainstream deep convolutional neural network (D-CNN) model. To this end we create an FOD image dataset consisting of images from the runways of Shanghai Hongqiao International Airport and the campus of our research institute. We optimize the architecture of the D-CNN by considering the characteristics of the material distribution of the FOD. The results show that the proposed approach can improve the accuracy of material recognition by 39.6% over the state-of-the-art method. The work here will help enhance the intelligence capability of future FOD detection systems and encourage other practical applications of material recognition technology.
231,Gao2018, With the continuous development of the intelligent vehicle vehicle security events occur frequently therefore the vehicle information security is particularly important. In this paper the in-vehicle security measures are analyzed especially the current situation of in-vehicle intrusion detection system which are mainly aimed at specific vehicles and are not enough to meet the need of vehicle security. Then a new in-vehicle intrusion detection mechanism is proposed based on deep learning and the set of experience knowledge structure (SOEKS) which is a knowledge representation structure. Utilizing SOEKS and information entropy to increase the versatility of intrusion detection for different vehicle. In practice the more precise model for specific vehicle can formed by training a large amount of specific vehicle data through deep learning. It is demonstrated with experimental results that the proposed approach is able to have 98% accuracy and detect a wide range of in-vehicle attacks.
232,Hussein2018, Deep learning techniques have shown success in learning from raw high-dimensional data in various applications. While deep reinforcement learning is recently gaining popularity as a method to train intelligent agents utilizing deep learning in imitation learning has been scarcely explored.
233,Zhang2018e, This paper described manage sewer in-line storage control for the city of Drammen Norway. The purpose of the control is to use the free space of the pipes to reduce overflow at the wastewater treatment plant (WWTP). This study combined the powerful sides of the hydraulic model and neural networks. A detailed hydraulic model was developed to identify which part of the sewer system have more free space. Subsequently the effectiveness of the proposed control solution was tested. Simulation results showed that intentionally control sewer with free space could significantly reduce overflow at the WWTP. At last in order to enhance better decision making and give enough response time for the proposed control solution Recurrent Neural Network (RNN) was employed to forecast flow. Three RNN architectures namely Elman NARX (nonlinear autoregressive network with exogenous inputs) and a novel architecture of neural networks LSTM (Long Short-Term Memory) were compared. The LSTM exhibits the superior capability for time series prediction.
234,2018b, Special Program and Abstract issue of the 14th Annual Congress of the European Cardiac Arrhythmia Society (ECAS)
235,Xu2018b, As crop diseases bring huge losses every year in both developed and developing countries determining how to precisely predict crop disease severity to facilitate agricultural emergency management is really a worldwide problem. Previous studies have introduced machine learning (ML) techniques into crop disease prediction and achieved better experimental results. However the architectures of these ML models are unsuitable to model time series data. Moreover the dependences among observations over time and across space have not been taken into account in model construction. By applying data-mining techniques to dynamic spatial panels of remote sensing data and considering features of bioclimatic topographic and soil conditions as a supplement we propose a novel crop disease prediction framework for agricultural emergency management based on ensemble learning techniques and spatio-temporal recurrent neural network (STRNN) which is an extension of recurrent neural network (RNN) in time and space. Empirical experiments are conducted on a specific dataset which is built based on reported cases of wheat yellow rust outbreaks in the Longnan city. Experimental results indicate that our proposed method outperforms all baseline models in crop disease severity prediction. The managerial implication of our work is that by applying the proposed methodology some preparedness measures can be implemented in advance to prevent or mitigate the possible disasters according to predicted results. Notable economic and ecological benefits can be achieved by optimizing the frequency and timing of application of fungicide pesticides and other preventative measures.
236,Hao2018, Plasticity in our brain offers us promising ability to learn and know the world. Although great successes have been achieved in many fields few bio-inspired machine learning methods have mimicked this ability. Consequently when meeting large-scale or time-varying data these bio-inspired methods are infeasible due to the reasons that they lack plasticity and need all training data loaded into memory. Furthermore even the popular deep convolutional neural network (CNN) models have relatively fixed structures and cannot process time varying data well. Through incremental methodologies this paper aims at exploring an end-to-end lifelong learning framework to achieve plasticities of both the feature and classifier constructions. The proposed model mainly comprises of three parts: Gabor filters followed by max pooling layer offering shift and scale tolerance to input samples incremental unsupervised feature extraction and incremental SVM trying to achieve plasticities of both the feature learning and classifier construction. Different from CNN plasticity in our model has no back propogation (BP) process and does not need huge parameters. Our incremental models including IncPCANet and IncKmeansNet have achieved better results than PCANet and KmeansNet on minist and Caltech101 datasets respectively. Meanwhile IncPCANet and IncKmeansNet show promising plasticity of feature extraction and classifier construction when the distribution of data changes. Lots of experiments have validated the performance of our model and verified a physiological hypothesis that plasticity exists in high level layer better than that in low level layer.
238,Ruiz-Garcia2018, We have recently seen significant advancements in the development of robotic machines that are designed to assist people with their daily lives. Socially assistive robots are now able to perform a number of tasks autonomously and without human supervision. However if these robots are to be accepted by human users there is a need to focus on the form of human robot interaction that is seen as acceptable by such users. In this paper we extend our previous work originally presented in Ruiz-Garcia et al. (in: Engineering applications of neural networks: 17th international conference EANN 2016 Aberdeen UK September 2 5 2016 proceedings pp 79 93 2016. https://doi.org/10.1007/978-3-319-44188-7_6) to provide emotion recognition from human facial expressions for application on a real-time robot. We expand on previous work by presenting a new hybrid deep learning emotion recognition model and preliminary results using this model on real-time emotion recognition performed by our humanoid robot. The hybrid emotion recognition model combines a Deep Convolutional Neural Network (CNN) for self-learnt feature extraction and a Support Vector Machine (SVM) for emotion classification. Compared to more complex approaches that use more layers in the convolutional model this hybrid deep learning model produces state-of-the-art classification rate of $$96.26\%$$96.26% when tested on the Karolinska Directed Emotional Faces dataset (Lundqvist et al. in The Karolinska Directed Emotional Faces KDEF 1998) and offers similar performance on unseen data when tested on the Extended Cohn Kanade dataset (Lucey et al. in: Proceedings of the third international workshop on CVPR for human communicative behaviour analysis (CVPR4HB 2010) San Francisco USA pp 94 101 2010). This architecture also takes advantage of batch normalisation (Ioffe and Szegedy in Batch normalization: accelerating deep network training by reducing internal covariate shift. http://arxiv.org/abs/1502.03167 2015) for fast learning from a smaller number of training samples. A comparison between Gabor filters and CNN for feature extraction and between SVM and multilayer perceptron for classification is also provided.
239,Duan2018a, A rolling bearing is an essential component of a rotating mechanical transmission system. Its performance and quality directly affects the life and reliability of machinery. Bearings’ performance and reliability need high requirements because of a more complex and poor working conditions of bearings. A bearing with high reliability reduces equipment operation accidents and equipment maintenance costs and achieves condition-based maintenance. First in this paper the development of technology of the main individual physical condition monitoring and fault diagnosis of rolling bearings are introduced then the fault diagnosis technology of multi-sensors information fusion is introduced and finally the advantages disadvantages and trends developed in the future of the detection main individual physics technology and multi-sensors information fusion technology are summarized. This paper is expected to provide the necessary basis for the follow-up study of the fault diagnosis of rolling bearings and a foundational knowledge for researchers about rolling bearings.
240,Alshareet2018, Guided by the eagerness to fulfill business objectives quality assurance has become one of the highlighted topics in software engineering. With the rise of globalization and free markets software users are becoming increasingly powerful with their ability to buy or reject computer software. While there is agreement over achieving quality there is debate over the definition of quality. To illustrate literature shows inconsistencies between a software development team definition to quality and a user definition to quality. Recently there is a tendency amongst researchers to appreciate the need for studying quality from a user prospective. Following a systematic approach this research attempts to develop a QiUPS an expert system for predicting quality in use in early software development phases. With the scariness of research data in this field the research generates a dataset from the documentation of Information Communication and E-learning Technology Centre software projects. The research methodology followed a comparative approach as it statistically compared four different classification algorithms (CAs) in terms of accuracy in classifying the research dataset. After that the research results led the researchers to compare the performance of artificial neural networks with convolutional neural networks in three empirical experiments which is rarely researched. Finally the research incorporated the best CA with ISO 25010 in order to develop the novel QiUPS. The research results are consistent and contributive to this rarely researched area.
241,Wang2018l, With the proliferation of sensor-equipped portable mobile devices Mobile CrowdSensing (MCS) using smart devices provides unprecedented opportunities for collecting enormous surrounding data. In MCS applications a crucial issue is how to recruit appropriate participants from a pool of available users to accomplish released tasks satisfying both resource efficiency and sensing quality. In order to meet these two optimization goals simultaneously in this paper we present a novel MCS task allocation framework by aligning existing task sequence with users’ moving regularity as much as possible. Based on the process of mobility repetitive pattern discovery the original task allocation problem is converted into a pattern matching issue and the involved optimization goals are transformed into pattern matching length and support degree indicators. To determine a trade-off between these two competitive metrics we propose greedy-based optimal assignment scheme search approaches namely MLP MDP IU1 and IU2 algorithm with respect to matching length-preferred support degree-preferred and integrated utility respectively. Comprehensive experiments on realworld open data set and synthetic data set clearly validate the effectiveness of our proposed framework on MCS task optimal allocation.
242,Roy2018, Web reliability is gaining importance with time due to the exponential increase in the popularity of different social community networks mailing systems and other online applications. Hence to enhance the reliability of any existing web system the web administrators must have the knowledge of various web errors present in the system influences of various workload characteristics on the manifestation of several web errors and the relations among different workload characteristics. But in reality often it may not be possible to institute a generalized correspondence among several workload characteristics. Moreover the issues like the prediction and estimation of the cumulative occurrences of the source content failures and the corresponding time between failures of a web system become less highlighted by the reliability research community. Hence in this work the authors have presented a well-defined procedure (a forecasting framework) for the web admins to analyze and enhance the reliability of the web sites under their supervision. Initially it takes the HTTP access and the error logs to extract all the necessary information related to the workloads web errors and corresponding time between failures. Next we have performed the principal component analysis correlation analysis and the change point analysis to select the number of independent variables. Next we have developed various time series based forecasting models for foretelling the cumulative occurrences of the source content failures and the corresponding time between failures. In the current work the multivariate models also include various uncorrelated workloads the exogeneous and the endogenous noises for forecasting the web errors and the corresponding time between failures. The proposed methodology has been validated with usage statistics collected from the web sites belong of two highly renowned Indian academic institutions.
243,Cath2018, In October 2016 the White House the European Parliament and the UK House of Commons each issued a report outlining their visions on how to prepare society for the widespread use of artificial intelligence (AI). In this article we provide a comparative assessment of these three reports in order to facilitate the design of policies favourable to the development of a ‘good AI society’. To do so we examine how each report addresses the following three topics: (a) the development of a ‘good AI society’; (b) the role and responsibility of the government the private sector and the research community (including academia) in pursuing such a development; and (c) where the recommendations to support such a development may be in need of improvement. Our analysis concludes that the reports address adequately various ethical social and economic topics but come short of providing an overarching political vision and long-term strategy for the development of a ‘good AI society’. In order to contribute to fill this gap in the conclusion we suggest a two-pronged approach.
244,Lee2018b, Drug-resistant microorganism infections cause serious disease and can lead to mortality and morbidity. In particular Staphylococcus aureus induces pyrogenic and toxigenic infections and drug-resistance occurs rapidly. Multidrug-resistant S. aureus such as methicillin-resistant S. aureus and methicillin-sensitive S. aureus can also cause immunodeficiency and immune deficiency syndrome from lipoteichoic acid. However antimicrobial peptides such as KW4 have strong antimicrobial activity low cytotoxicity and high neutralization activity against endotoxin substances from Gram-negative bacteria. The objective of this study was to use a synthetic KW4 antimicrobial peptide to evaluate the inhibition of drug-resistance development antimicrobial activity and neutralizing activity in S. aureus Gram-positive bacteria. The KW4 peptide showed strong antimicrobial activity against drug-resistant S. aureus strains and significantly increased the anti-neutralizing activity of lipoteichoic acid in S. aureus 1630 drug-resistant bacteria. In addition S. aureus ATCC 29213 did not develop resistance to KW4 as with other antibiotic drugs. These results suggest that the KW4 peptide is an effective antibiotic and anti-neutralizing agent against multidrug-resistant S. aureus strains.
245,Liong2018, Micro-expressions can occur when a person attempts to conceal and suppress his true feelings and emotions both deliberately or unconsciously.In recent years facial micro-expression analysis has received tremendous attention in the field of psychology media and computer vision. However due to its subtlety and brief duration development of automated micro-expression detection and recognition system are still great challenges in the field of computer vision. In this paper we present a novel hybrid facial region extraction framework that combines heuristic and automatic approaches to better recognize spontaneous micro-expressions. Salient facial regions are statistically determined based on the occurrence frequency of facial action units instead of holistic utilization of the entire facial area. The regions were automatically selected according to the facial landmark coordinates. We tested on two recent publicly available datasets that provided sufficient samples while also fulfilling the criteria of being elicited spontaneously. To further confirm the reliability of the proposed method two distinct feature extractors were employed to describe micro-expression information. Results show consistent and promising performance in all scenarios considered. The best result achieved is an improvement of approximately 10.5% in CASME II and an increment of nearly 10% in SMIC. We also report F-measure precision and recall performance metrics that are most suited for the imbalanced nature of spontaneous micro-expression datasets.
246,Coole2018, Within the security stratum is the jurisdictional practice of physical security; however physical security is not currently a recognised professional undertaking. Professional standing is a social recognition designated by the public and legal arenas. Yet the physical security practitioner is instrumental in addressing security concerns. Therefore this study extends a recent article by Coole et al. (Secur J 1 29 2016) to articulate educational learning objectives within a formal knowledge structure. The study applied a cultural domain analysis using security expert focus groups to develop a physical security knowledge system. Findings indicated that knowledge subjects should be aligned in order to diagnose the security problem inference an optimal resolution and identify treatment strategies. The study articulated the overarching physical security learning objectives using a top-down structure and underpinned by subject learning objectives. The adoption of standardised learning objectives based on clear content requisites would represent a significant step forward in the professionalisation of the physical security professional.
247,Chang2018a, With the rapid development of wearable technology wearable medical devices have gradually garnered a significant amount of research interest. Motion reconstruction can accurately reproduce the posture of the user at the time of the accident which provides medical personnel with necessary reference information. However because of the vast range of human body activities motion reconstruction needs high-frequency sampling data to avoid the occurrence of errors. Moreover the fact that movements resulting from an accident can be irregular the difficulties arising from unexpected training samples. This study attempts to establish a real-time human body inferential motion reconstruction system on fall accident. The data of human motion is recorded by using tri-axis accelerometers and tri-axis gyroscopes. The angles and tracks of the human limbs computed and the next action occurrence point deduced using long short-term memory. Then the postural trajectory is corrected using feedback inference of gravity data from the end of a fall accident. Through the correction mechanism of bidirectional feedback the error diffusion caused can reduce efficiency. In this study using a parameter adjustment strategy under data sampling rate of 0.01 the average normal-m reconstruction rate as well as the fall-motion reconstruction rate can be determined. The overall posture is reproduced through the 3D video to ambulance personnel as a reference.
248,Neveol2018, BackgroundNatural language processing applied to clinical text or aimed at a clinical outcome has been thriving in recent years. This paper offers the first broad overview of clinical Natural Language Processing (NLP) for languages other than English. Recent studies are summarized to offer insights and outline opportunities in this area.Main BodyWe envision three groups of intended readers: (1) NLP researchers leveraging experience gained in other languages (2) NLP researchers faced with establishing clinical text processing in a language other than English and (3) clinical informatics researchers and practitioners looking for resources in their languages in order to apply NLP techniques and tools to clinical practice and/or investigation. We review work in clinical NLP in languages other than English. We classify these studies into three groups: (i) studies describing the development of new NLP systems or components de novo (ii) studies describing the adaptation of NLP architectures developed for English to another language and (iii) studies focusing on a particular clinical application.ConclusionWe show the advantages and drawbacks of each method and highlight the appropriate application context. Finally we identify major challenges and opportunities that will affect the impact of NLP on clinical practice and public health studies in a context that encompasses English as well as other languages.
249,Peng2018b, During the transportation of aquatic products living states of the aquatic products and carbon emission of the carriers are respectively the concerns of the carrier enterprises and the government. Drivers adds virtual living states of aquatic products to the real driving environments through augmented reality technology to help themselves control oxygen contents and temperatures and choose distribution routes. Furthermore the effectiveness of carbon emission policy is investigated by simulating the impact of the policy on the distribution operations. In the simulation the carriers take the minimization of overall costs of the distribution operations as the objective. In order to meet the requirements of carbon emission policies factors of customer demands road lengths and road congestion are used to determine the distribution. The simulation is implemented based on genetic algorithm: total costs are used as fitness values and distribution sequences are encoded into chromosomes. And the carbon emission price is introduced as a operating parameter. Through running the simulation we obtained the overall costs carbon emission amounts and carbon emission costs. And a linear equation are fitted on the output data passed the reliability test. Based on the linear equation it is concluded that the increase of the carbon emission price is helpful in reducing carbon emission amount but it would greatly increase the operation costs of the carriers.
250,Sathish2018, Person re-identification is a challenging problem in computer vision. Lots of research interest is observed in this area over the past few years. A model for complete person re-identification can prove useful in this direction. Use of convolutional neural networks for pedestrian detection can improve the accuracy of detection to a larger extent. Deriving a descriptor which is invariant to the changes in the illumination background and the pose can make the difference in the re-identification process. The predominant part of our work focuses on building a robust descriptor which can tackle such challenges. We have concentrated on building a descriptor by employing appearance-based features extracted both at local and global levels. Further the dimensionality of the descriptor is reduced using kernel PCA. Distance metric learning algorithms are used to evaluate the descriptor on three major benchmark datasets. We propose a complete person re-identification system which involves both pedestrian detection and person re-identification. Major contributions of this work are to detect pedestrians from surveillance videos using CNN-based learning and to generate a kernel-PCA-based spatial descriptor and evaluate the descriptor using known distance metric learning methods on benchmark datasets.
251,Kumar2018, Nowadays the video surveillance systems may be omnipresent but essential for supervision everywhere e.g. ATM airport railway station and other crowded situations. In the multi-view video systems various cameras are producing a huge amount of video content around the clock which makes it difficult for fast browsing retrieval and analysis. Accessing and managing such huge data in real time becomes a real challenging task because of inter-view dependencies illumination changes and the bearing of many inactive frames. The work highlights an accurate and efficient technique to detect and summarize the event in multi-view surveillance videos using boosting a machine learning algorithm as a solution to the above issues. Interview dependencies across multiple views of the video are captured via weak learning classifiers in boosting algorithm. The light changes and still frames are tackled with moving an object in the frame by Deep learning framework. It helps to reach the correct decision for the active frame and inactive frame without any prior information about the number of issues in a video. Target as well as subjective ratings clearly indicate the potency of our proposed DELTA model where it successfully reduces the video data while keeping the important information as events.
252,Ren2018, The M-Distinct is an excellent model that supports the anonymization of a fully dynamic set of data. This study aimed to explore and analyze the M-Distinct model. First of all sensitive values in the QI-Group have certain randomness which caused the M-Distinct model prone to be property attacked. However the (M CUS)-Distinct model was proposed and required additional records in anonymity in the process. Therefore its QI-Group-sensitive attribute value must belong to the same set of CUS to reduce the probability of property attacks. Secondly the M-Distinct model involved time and cost. The proposed (M CUS)-Distinct model creation phase generated disjoint barrel queues to ensure that each record could be stored in the record distribution phase which reduced the time complexity of the algorithm. Finally the experiment based on real data sets showed that the (M CUS)-Distinct model was superior to the M-Distinct model in terms of data security faked records processing and execution time.
253,Gupta2018b, The analysis and identification of different attributes of produce such as taxonomy vendor and organic nature is vital to verifying product authenticity in a distribution network. Though a variety of analysis techniques have been studied in the past we present a novel data-centric approach to classifying produce attributes. We employed visible and near infrared (NIR) spectroscopy on over 75000 samples across several fruit and vegetable varieties. This yielded 0.90 0.98 and 0.98 0.99 classification accuracies for taxonomy and farmer classes respectively. The most significant factors in the visible spectrum were variations in the produce color due to chlorophyll and anthocyanins. In the infrared spectrum we observed that the varying water and sugar content levels were critical to obtaining high classification accuracies. High quality spectral data along with an optimal tuning of hyperparameters in the support vector machine (SVM) was also key to achieving high classification accuracies. In addition to demonstrating exceptional accuracies on test data we explored insights behind the classifications and identified the highest performing approaches using cross validation. We presented data collection guidelines experimental design parameters and machine learning optimization parameters for the replication of studies involving large sample sizes.
254,Tripathi2018, Interest in automatic crowd behaviour analysis has grown considerably in the last few years. Crowd behaviour analysis has become an integral part all over the world for ensuring peaceful event organizations and minimum casualties in the places of public and religious interests. Traditionally the area of crowd analysis was computed using handcrafted features. However the real-world images and videos consist of nonlinearity that must be used efficiently for gaining accuracies in the results. As in many other computer vision areas deep learning-based methods have taken giant strides for obtaining state-of-the-art performance in crowd behaviour analysis. This paper presents a comprehensive survey of current convolution neural network (CNN)-based methods for crowd behaviour analysis. We have also surveyed popular software tools for CNN in the recent years. This survey presents detailed attributes of CNN with special emphasis on optimization methods that have been utilized in CNN-based methods. It also reviews fundamental and innovative methodologies both conventional and latest methods of CNN reported in the last few years. We introduce a taxonomy that summarizes important aspects of the CNN for approaching crowd behaviour analysis. Details of the proposed architectures crowd analysis needs and their respective datasets are reviewed. In addition we summarize and discuss the main works proposed so far with particular interest on CNNs on how they treat the temporal dimension of data their highlighting features and opportunities and challenges for future research. To the best of our knowledge this is a unique survey for crowd behaviour analysis using the CNN. We hope that this survey would become a reference in this ever-evolving field of research.
255,Pyrkov2018, Age-related physiological changes in humans are linearly associated with age. Naturally linear combinations of physiological measures trained to estimate chronological age have recently emerged as a practical way to quantify aging in the form of biological age. In this work we used one-week long physical activity records from a 2003 2006 National Health and Nutrition Examination Survey (NHANES) to compare three increasingly accurate biological age models: the unsupervised Principal Components Analysis (PCA) score a multivariate linear regression and a state-of-the-art deep convolutional neural network (CNN). We found that the supervised approaches produce better chronological age estimations at the expense of a loss of the association between the aging acceleration and all-cause mortality. Consequently we turned to the NHANES death register directly and introduced a novel way to train parametric proportional hazards models suitable for out-of-the-box implementation with any modern machine learning software. As a demonstration we produced a separate deep CNN for mortality risks prediction that outperformed any of the biological age or a simple linear proportional hazards model. Altogether our findings demonstrate the emerging potential of combined wearable sensors and deep learning technologies for applications involving continuous health risk monitoring and real-time feedback to patients and care providers.
256,Gao2018a, Many real world pattern classification problems involve the process and analysis of multiple variables in temporal domain. This type of problem is referred to as Multivariate Time Series (MTS) problem. It remains a challenging problem due to the nature of time series data: high dimensionality large data size and updating continuously. In this paper we use three types of physiological signals from the driver to predict lane changes before the event actually occurs. These are the electrocardiogram (ECG) galvanic skin response (GSR) and respiration rate (RR) and were determined in prior studies to best reflect a driver’s response to the driving environment. A novel Group-wise Convolutional Neural Network MTS-GCNN model is proposed for MTS pattern classification. In our MTS-GCNN model we present a new structure learning algorithm in training stage. The algorithm exploits the covariance structure over multiple time series to partition input volume into groups then learns the MTS-GCNN structure explicitly by clustering input sequences with spectral clustering. Different from other feature-based classification approaches our MTS-GCNN can select and extract the suitable internal structure to generate temporal and spatial features automatically by using convolution and down-sample operations. The experimental results showed that in comparison to other state-of-the-art models our MTS-GCNN performs significantly better in terms of prediction accuracy.
257,Sukrat2018, The rapid growth of social networking usage has initiated a new business model called C2C s-commerce which has opened a novel opportunity for SNS users to conduct commercial activities among members. Novice vendors (low-maturity merchants) perform business using a trial-and-error method. Through learning by doing capability enhancement in online business arrangements to become a mature vendor is difficult and takes time. Having a recommendation system can effectively and systematically support inexperienced vendors to conduct online business and enable vendors to become high-maturity merchants. This study proposes architecture of a C2C s-commerce recommendation system presented in conjunction with its input process and output. The architecture was devised to infer from information collected from case study interviews observation and secondary research methods. Artificial intelligence technologies and big data were considered to design the proposed framework in order to generate efficient recommendations for capability enhancement in online business arrangements.
258,Krittanawong2018, Heart failure with preserved ejection fraction (HFpEF) a complex and debilitating syndrome is commonly seen in elderly populations. Exacerbation of HFpEF is among the most common reasons for hospital admission in the USA. The high rate of morbidity and mortality from this condition underscores the fact that HFpEF is heterogeneous complex and poorly characterized. Randomized controlled trials have been very successful at identifying treatments for HF with reduced ejection fraction (HFrEF) but effective treatment options for HFpEF are lacking. Here we discuss (1) the pathophysiology of HFpEF (2) a standardized diagnostic and therapeutic approach (3) a comparison of the management of recent guidelines and (4) challenges and future directions for HFpEF management. The authors believe that it is important to identify new subtypes of HFpEF to better classify genotypes and phenotypes of HFpEF and to develop novel targeted therapies. It is our hypothesis that big data analytics will shine new light on unique HFpEF phenotypes that better respond to treatment modalities.
259,Datta2018, A bstractPrevious studies have demonstrated the utility and applicability of machine learning techniques to jet physics. In this paper we construct new observables for the discrimination of jets from different originating particles exclusively from information identified by the machine. The approach we propose is to first organize information in the jet by resolved phase space and determine the effective N -body phase space at which discrimination power saturates. This then allows for the construction of a discrimination observable from the N -body phase space coordinates. A general form of this observable can be expressed with numerous parameters that are chosen so that the observable maximizes the signal vs. background likelihood. Here we illustrate this technique applied to discrimination of H→bb $$ H\to b\overlineb $$ decays from massive g→bb $$ g\to b\overlineb $$ splittings. We show that for a simple parametrization we can construct an observable that has discrimination power comparable to or better than widely-used observables motivated from theory considerations. For the case of jets on which modified mass-drop tagger grooming is applied the observable that the machine learns is essentially the angle of the dominant gluon emission off of the bb $$ b\overlineb $$ pair.
260,Curiel-Ramirez2018, Road traffic accidents are a leading cause of deaths globally and represent the main cause of death among 15 29 years olds (World Health Organization in Global status report on road safety 2015 World Health Organization Geneva 2015). Efforts have been made to develop and improve advanced driver assistance systems as to provide better quality of driving and reduce the number of traffic accidents. However most of the current solutions focus on developing systems for fully autonomous cars. This study investigates a modular architecture that could potentially assist drivers in situations such as traffic jams autonomous parking and detection of obstacles such as pedestrians. The aim is to develop a low-cost driver assistance system that could be acquired and easily incorporated by non-technical users. It is becoming increasingly feasible to build a powerful and low-cost system because of the low cost of big-sized cameras electronics and processing cards. As a proof of the concept a hardware and software solution had been developed for autonomous steering-wheel actuation that only utilizes a stereoscopic camera sensor.Graphical Abstract
261,Cui2018, For the fault tree analysis a basic event probability is often complicated. The probability is not constant and even can be represented by function. In order to analyze the system reliability and related characteristics we represent the probabilities of the basic events by functions. The variables of the function are n influencing factors on the basic events. We extend the top event probability from the constant value to n + 1-dimensional space considering n influencing factors and the probability is n + 1th dimension. Further research the n + 1-dimensional space with related mathematical methods and then transform the system probability analysis into the problem of mathematic. The above ideas are the space fault tree (SFT). In SFT component fault probability distribution replace basic event probability and system fault probability distribution replace top event probability. In this paper we research the electrical system fault probability distribution and explain the related construction process. The main factors influencing the system are working temperature c and working time t. This paper constructs the three-dimensional fault probability distribution of the components and the system and the probability importance and criticality importance of the components. With partial derivation of the system fault probability distribution by the c and t we study the change trend of the fault probability. The optimal replacement schemes of components and the scheme considering the cost are obtained. The results show SFT is feasible and reasonable to analyze the fault probability of system under multi-factor influence and suitable for deep learning of the characteristics of the system reliability change.
262,Keel2018, The purpose of this study is to evaluate the feasibility and patient acceptability of a novel artificial intelligence (AI)-based diabetic retinopathy (DR) screening model within endocrinology outpatient settings. Adults with diabetes were recruited from two urban endocrinology outpatient clinics and single-field non-mydriatic fundus photographs were taken and graded for referable DR (   pre-proliferative DR). Each participant underwent; (1) automated screening model; where a deep learning algorithm (DLA) provided real-time reporting of results; and (2) manual model where retinal images were transferred to a retinal grading centre and manual grading outcomes were distributed to the patient within 2 weeks of assessment. Participants completed a questionnaire on the day of examination and 1-month following assessment to determine overall satisfaction and the preferred model of care. In total 96 participants were screened for DR and the mean assessment time for automated screening was 6.9 minutes. Ninety-six percent of participants reported that they were either satisfied or very satisfied with the automated screening model and 78% reported that they preferred the automated model over manual. The sensitivity and specificity of the DLA for correct referral was 92.3% and 93.7% respectively. AI-based DR screening in endocrinology outpatient settings appears to be feasible and well accepted by patients.
263,Gharajeh2018, There are ingenious characteristics in humanistic behaviors so that they can be utilized by the most developers to design smart and complex systems. This paper proposes a novel knowledge and learning based method called behavior-based decision making BBDM in control and system engineering. It is an expert decision support system containing the learning ability to work based on humanistic behavioral reasoning. The knowledge base is built by the system based on various behavioral styles (e.g. safe) associated to other systems and humans. BBDM uses the knowledge-based information to make appropriate decisions when any desired behavioral style is requested from the system. It specifies a success rate for any desired style based on the obtained knowledge base with the aid of a behavioral inference system. This procedure can be used to select a proper system or human to accomplish a requested job. All operations of the BBDM method are performed by a proposed behavioral decision system called BDS which consists of three main units: decomposition behavioral inference and composition. The decomposition unit splits any behavioral style into several optional features (e.g. safety). The behavioral aggregation sub-unit aggregates all behavioral styles obtained by the system to define the total behavior. The behavioral inference unit produces a success set for any desired behavioral style. Finally the composition unit converts success set to success rate to specify the success probability of the desired style. Simulation results show that the proposed method has a high efficiency compared to some of the existing decision-making methods.Graphical Abstract
264,Cui2018a, Some fault data in an actual system operation has the strong discretization and big data characteristics. Meanwhile the external factors affect the system reliability and the change of factors may lead to the change of system reliability. At present the methods in safety system engineering lack the ability to process the multi-factor influence and fault big data simultaneously. But these are the general problems that the actual system reliability analysis must face to be resolved. In order to solve the problems on the basis of Discrete Space Fault Tree (DSFT) the Fuzzy Structured Element method is introduced to construct the Fuzzy Structured Element Discrete Space Fault Tree (EDSFT). The method can analyze the multi-factor influence on system reliability with DSFT and use Fuzzy Structured Element (E) to denote the discrete characteristics of fault big data. The results of EDSFT with E can preserve the characteristics of the original fault data distribution and lay the foundation for the analysis of fault big data. The research is particularly suitable for the analysis of system reliability under the fault big data and multi-factor influence.
265,Tutubalina2018, Pharmacovigilance and generally applications of natural language processing models to healthcare have attracted growing attention over the recent years. In particular drug reactions can be extracted from user reviews posted on the Web and automated processing of this information represents a novel and exciting approach to personalized medicine and wide-scale drug tests. In medical applications demographic information regarding the authors of these reviews such as age and gender is of primary importance; however existing studies usually either assume that this information is available or overlook the issue entirely. In this work we propose and compare several approaches to automated mining of demographic information from user-generated texts. We compare modern natural language processing techniques including extensions of topic models and convolutional neural networks (CNN). We apply single-task and multi-task learning approaches to this problem. Based on a real-world dataset mined from a health-related web site we conclude that while CNNs perform best in terms of predicting demographic information by jointly learning different user attributes topic models provide additional information and reflect gender-specific and age-specific symptom profiles that may be of interest for a researcher.
